pickup_date,total_trips,daily_revenue,avg_fare,avg_distance_miles,avg_duration_mins
2008-12-31,1,80.55,70.0,17.76,927.48
2022-10-25,4,159.2,37.25,2.45,6.87
2022-12-31,25,658.23,16.63,3.31,12.21
2023-01-01,69968,2156065.54,21.94,4.38,17.54
2023-01-02,61858,1946192.83,22.31,4.64,16.41
2023-01-03,80528,2371351.96,20.25,3.94,16.6
2023-01-04,89510,2521817.48,19.17,3.6,16.32
2023-01-05,95164,2605814.42,18.51,3.43,16.09
2023-01-06,96600,2582506.63,17.94,3.26,15.55
2023-01-07,99147,2546027.64,17.72,3.28,14.95
2023-01-08,80133,2293951.79,19.94,4.02,14.94
2023-01-09,80049,2256058.46,19.04,3.65,15.43
2023-01-10,94304,2512816.25,17.8,3.21,15.06
2023-01-11,100153,2643595.05,17.56,3.16,15.21
2023-01-12,104426,2894574.41,18.57,3.34,16.56
2023-01-13,104101,2937721.99,18.86,3.48,16.57
2023-01-14,106531,2789702.99,17.97,3.26,15.62
2023-01-15,91094,2483191.25,18.82,3.63,14.92
2023-01-16,75476,2194072.55,20.06,4.05,15.49
2023-01-17,95046,2679053.72,18.92,3.48,16.06
2023-01-18,100132,2730779.66,18.22,3.24,16.0
2023-01-19,107344,2896136.47,18.03,3.06,16.9
2023-01-20,103161,2791923.15,18.1,3.24,16.17
2023-01-21,105650,2640434.9,17.13,3.07,14.78
2023-01-22,84218,2333915.46,19.12,3.75,15.08
2023-01-23,84225,2313769.86,18.4,3.45,15.04
2023-01-24,97883,2599128.29,17.65,3.11,15.47
2023-01-25,102121,2654617.58,17.21,2.94,15.74
2023-01-26,108033,2953019.91,18.23,3.23,16.24
2023-01-27,105179,2835029.36,17.94,3.2,16.13
2023-01-28,105124,2638903.26,17.21,3.01,15.6
2023-01-29,82815,2299999.89,19.17,3.75,15.07
2023-01-30,78627,2202289.66,18.86,3.56,15.65
2023-01-31,94441,2542115.98,18.04,3.08,16.23
2023-02-01,10,313.81,22.02,4.57,14.68
