pickup_hour,total_trips,avg_fare,avg_duration_mins,avg_tip_pct,total_revenue
0,79531,19.79,15.67,20.42,2295238.95
1,55528,17.82,14.9,20.96,1460272.16
2,38701,16.7,14.66,20.72,959300.15
3,25028,17.72,14.59,20.26,650732.5
4,15806,22.18,15.81,17.99,496456.57
5,16128,26.43,15.7,16.57,590591.94
6,39923,22.13,15.16,18.12,1220036.55
7,79518,18.9,15.14,37.66,2130970.69
8,107864,17.42,15.7,20.02,2709190.8
9,122596,17.6,15.34,19.91,3127041.51
10,135231,17.71,15.35,19.52,3460184.66
11,145225,17.4,15.21,19.49,3656425.11
12,160181,17.74,15.44,19.51,4104580.28
13,168712,18.46,16.25,19.38,4467756.92
14,180942,19.75,17.7,19.27,5088723.81
15,185402,19.28,17.69,19.36,5094431.88
16,184600,19.53,17.72,21.78,5475079.16
17,197141,18.61,17.0,21.89,5650331.57
18,203543,16.97,15.27,22.51,5436256.13
19,182624,17.64,14.6,22.4,5024594.87
20,157322,18.02,14.33,22.87,4254481.91
21,153326,18.5,14.36,21.76,4238995.51
22,139911,19.39,15.09,21.16,4004334.82
23,108298,20.58,15.42,20.63,3251781.73
